Responder_ID;submitdate;lastpage;startlanguage;seed;startdate;datestamp;Introduction;QID01;Instr1;P1Know.P1Know01.;P1Know.P1Know02.;P1AttitudesA.P1AttitudesA01.;P1AttitudesA.P1AttitudesA02.;P1AttitudesA.P1AttitudesA03.;P1AttitudesA.P1AttitudesA04.;P1AttitudesA.P1AttitudesA05.;P1AttitudesA.P1AttitudesA06.;P1AttitudesA.P1NeedA01.;P1AttitudesA.P1NeedA02.;P1AttitudesB.P1AttitudesB01.;P1AttitudesB.P1AttitudesB02.;P1AttitudesB.P1AttitudesB03.;P1AttitudesB.P1AttitudesB04.;P1AttitudesB.P1AttitudesB05.;P1AttitudesB.P1AttitudesB06.;P1AttitudesB.P1NeedB01.;P1AttitudesB.P1NeedB02.;P1AttitudesC.P1AttitudesC01.;P1AttitudesC.P1AttitudesC02.;P1AttitudesC.P1AttitudesC03.;P1AttitudesC.P1AttitudesC04.;P1AttitudesC.P1AttitudesC05.;P1AttitudesC.P1AttitudesC06.;P1AttitudesC.P1NeedC01.;P1AttitudesC.P1NeedC02.;P1Use01;P1Use01b;P1Use01b.other.;P1Use02;P1Use02b;P1Use02b.other.;Instr2;P2Know.P2Know01.;P2Know.P2Know02.;P2AttitudesA.P2AttitudesA01.;P2AttitudesA.P2AttitudesA02.;P2AttitudesA.P2AttitudesA03.;P2AttitudesA.P2AttitudesA04.;P2AttitudesA.P2AttitudesA05.;P2AttitudesA.P2AttitudesA06.;P2AttitudesA.P2NeedA01.;P2AttitudesA.P2NeedA02.;P2AttitudesB.P2AttitudesB01.;P2AttitudesB.P2AttitudesB02.;P2AttitudesB.P2AttitudesB03.;P2AttitudesB.P2AttitudesB04.;P2AttitudesB.P2AttitudesB05.;P2AttitudesB.P2AttitudesB06.;P2AttitudesB.P2NeedB01.;P2AttitudesB.P2NeedB02.;P2AttitudesC.P2AttitudesC01.;P2AttitudesC.P2AttitudesC02.;P2AttitudesC.P2AttitudesC03.;P2AttitudesC.P2AttitudesC04.;P2AttitudesC.P2AttitudesC05.;P2AttitudesC.P2AttitudesC06.;P2AttitudesC.P2NeedC01.;P2AttitudesC.P2NeedC02.;P2Use01;P2Use02;Instr3;P3Know.P3Know01.;P3Know.P3Know02.;P3AttitudesA.P3AttitudesA01.;P3AttitudesA.P3AttitudesA02.;P3AttitudesA.P3AttitudesA03.;P3AttitudesA.P3AttitudesA04.;P3AttitudesA.P3AttitudesA05.;P3AttitudesA.P3AttitudesA06.;P3AttitudesA.P3NeedA01.;P3AttitudesA.P3NeedA02.;P3AttitudesB.P3AttitudesB01.;P3AttitudesB.P3AttitudesB02.;P3AttitudesB.P3AttitudesB03.;P3AttitudesB.P3AttitudesB04.;P3AttitudesB.P3AttitudesB05.;P3AttitudesB.P3AttitudesB06.;P3AttitudesB.P3NeedB01.;P3AttitudesB.P3NeedB02.;P3AttitudesC.P3AttitudesC01.;P3AttitudesC.P3AttitudesC02.;P3AttitudesC.P3AttitudesC03.;P3AttitudesC.P3AttitudesC04.;P3AttitudesC.P3AttitudesC05.;P3AttitudesC.P3AttitudesC06.;P3AttitudesC.P3NeedC01.;P3AttitudesC.P3NeedC02.;P3Use01;P3Use02;Instr4;P4Know.P4Know01.;P4Know.P4Know02.;P4AttitudesA.P4AttitudesA01.;P4AttitudesA.P4AttitudesA02.;P4AttitudesA.P4AttitudesA03.;P4AttitudesA.P4AttitudesA04.;P4AttitudesA.P4AttitudesA05.;P4AttitudesA.P4AttitudesA06.;P4AttitudesA.P4NeedA01.;P4AttitudesA.P4NeedA02.;P4AttitudesB.P4AttitudesB01.;P4AttitudesB.P4AttitudesB02.;P4AttitudesB.P4AttitudesB03.;P4AttitudesB.P4AttitudesB04.;P4AttitudesB.P4AttitudesB05.;P4AttitudesB.P4AttitudesB06.;P4AttitudesB.P4NeedB01.;P4AttitudesB.P4NeedB02.;P4AttitudesC.P4AttitudesC01.;P4AttitudesC.P4AttitudesC02.;P4AttitudesC.P4AttitudesC03.;P4AttitudesC.P4AttitudesC04.;P4AttitudesC.P4AttitudesC05.;P4AttitudesC.P4AttitudesC06.;P4AttitudesC.P4NeedC01.;P4AttitudesC.P4NeedC02.;P4Use01;P4Use02;Instr5;P5Know.P5Know01.;P5Know.P5Know02.;P5AttitudesA.P5AttitudesA01.;P5AttitudesA.P5AttitudesA02.;P5AttitudesA.P5AttitudesA03.;P5AttitudesA.P5AttitudesA04.;P5AttitudesA.P5AttitudesA05.;P5AttitudesA.P5AttitudesA06.;P5AttitudesA.P5NeedA01.;P5AttitudesA.P5NeedA02.;P5AttitudesB.P5AttitudesB01.;P5AttitudesB.P5AttitudesB02.;P5AttitudesB.P5AttitudesB03.;P5AttitudesB.P5AttitudesB04.;P5AttitudesB.P5AttitudesB05.;P5AttitudesB.P5AttitudesB06.;P5AttitudesB.P5NeedB01.;P5AttitudesB.P5NeedB02.;P5AttitudesC.P5AttitudesC01.;P5AttitudesC.P5AttitudesC02.;P5AttitudesC.P5AttitudesC03.;P5AttitudesC.P5AttitudesC04.;P5AttitudesC.P5AttitudesC05.;P5AttitudesC.P5AttitudesC06.;P5AttitudesC.P5NeedC01.;P5AttitudesC.P5NeedC02.;P5Use01;P5Use02;Age;Gender;Gender.other.;Section
Token_1157;21/06/2019 10:28;11;en;838597774;21/06/2019 9:22;21/06/2019 10:28;NA;NA;NA;2;5;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;NA;NA;0;NA;NA;NA;2;6;6;1;7;1;7;1;6;1;7;1;7;1;7;1;7;1;5;1;5;1;5;1;5;1;0;1;NA;1;7;5;1;5;1;5;1;5;1;4;1;4;1;4;1;4;1;3;1;3;1;3;1;3;1;0;0;NA;1;6;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;4;1;4;1;4;1;4;1;0;0;NA;3;7;5;1;5;1;5;1;5;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;0;27;Female;NA;BM
Token_1160;21/06/2019 10:01;11;en;2088637360;21/06/2019 9:49;21/06/2019 10:01;NA;NA;NA;4;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;5;1;5;1;5;1;5;1;0;NA;NA;1;Self-Archiving;NA;NA;3;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;4;1;4;1;4;1;4;1;1;1;NA;2;7;3;3;3;3;3;3;3;3;2;4;2;4;2;4;2;4;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;5;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;0;29;Male;NA;HUM
Token_1163;21/06/2019 19:04;11;en;254123831;21/06/2019 12:21;21/06/2019 19:04;NA;NA;NA;5;6;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;5;2;6;2;7;1;5;2;0;NA;NA;NA;NA;NA;NA;5;4;5;3;4;2;6;1;3;2;7;1;7;1;7;1;7;1;4;2;3;4;4;1;3;2;0;0;NA;3;7;5;2;5;2;6;1;4;3;7;1;7;1;7;1;7;1;4;2;3;1;4;1;3;1;1;NA;NA;2;7;7;2;6;2;6;2;6;1;7;1;7;1;7;1;7;1;4;2;3;3;2;1;3;2;0;1;NA;7;2;6;2;5;2;6;1;4;1;7;1;7;1;7;1;7;1;5;2;4;2;6;1;5;1;1;1;29;Male;NA;CPT
Token_1166;21/06/2019 12:49;11;en;90417106;21/06/2019 12:36;21/06/2019 12:49;NA;NA;NA;5;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;6;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;NA;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;1;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;0;NA;5;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;26;Male;NA;BM
Token_1169;21/06/2019 13:01;11;en;43586210;21/06/2019 12:52;21/06/2019 13:01;NA;NA;NA;6;6;6;5;6;3;7;4;7;1;5;3;6;3;6;4;6;2;5;5;6;1;6;1;4;1;0;NA;NA;NA;NA;NA;NA;6;6;7;1;7;1;6;2;6;2;6;2;6;2;6;2;6;2;4;4;5;1;5;1;4;1;0;NA;NA;6;6;7;1;7;3;7;3;5;3;7;1;7;3;7;3;5;3;5;3;4;4;5;1;4;1;0;NA;NA;6;6;7;1;7;1;6;3;5;3;7;1;7;1;6;3;5;3;4;4;5;1;5;1;4;4;0;NA;NA;7;6;7;1;7;1;7;3;5;3;7;1;7;1;7;1;7;1;4;4;5;1;7;1;6;1;0;NA;26;Male;NA;BM
Token_1175;21/06/2019 13:49;11;en;1274643789;21/06/2019 13:39;21/06/2019 13:49;NA;NA;NA;5;3;7;1;5;2;6;1;4;4;7;1;5;1;5;1;3;5;7;1;7;1;7;1;7;1;0;NA;NA;NA;NA;NA;NA;3;5;6;1;5;2;6;1;7;1;7;1;6;1;6;1;7;1;2;1;3;1;3;1;2;1;0;NA;NA;3;6;3;4;4;1;3;1;2;5;4;1;4;1;3;1;3;2;1;1;1;1;1;1;1;1;0;0;NA;2;6;6;1;6;1;7;1;2;5;7;1;6;1;6;1;4;3;3;1;3;1;4;1;2;6;0;0;NA;6;2;6;1;4;1;5;1;6;1;7;1;5;1;6;1;7;1;5;1;4;1;5;1;5;1;0;NA;27;Female;NA;BM
Token_1190;21/06/2019 15:30;11;en;1029992537;21/06/2019 15:22;21/06/2019 15:30;NA;NA;NA;1;3;5;1;5;1;5;1;5;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;1;3;5;1;5;1;5;1;5;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;1;1;NA;1;3;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;1;1;NA;3;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;1;NA;NA;1;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;0;0;26;Male;NA;CPT
Token_1193;21/06/2019 15:59;11;en;522278611;21/06/2019 15:44;21/06/2019 15:59;NA;NA;NA;6;6;7;1;7;1;7;1;6;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;NA;NA;1;Open Access Publisher;NA;NA;6;7;7;1;7;1;6;2;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;NA;5;7;5;2;6;1;6;1;4;2;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;0;0;NA;5;6;5;1;7;1;6;1;5;2;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;0;0;NA;5;6;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;0;26;Female;NA;NA
Token_1199;21/06/2019 17:32;11;en;296285903;21/06/2019 17:19;21/06/2019 17:32;NA;NA;NA;6;5;7;1;7;1;7;1;4;2;7;1;7;1;5;1;4;2;7;2;6;1;7;1;6;1;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;5;6;6;1;6;3;6;3;4;2;6;2;6;3;6;3;4;3;5;3;6;1;5;1;4;3;0;0;NA;2;4;2;4;2;5;2;4;1;5;2;5;2;5;2;4;2;6;3;3;3;3;4;1;2;4;0;0;NA;1;3;1;6;1;4;1;3;1;5;1;6;1;4;1;4;1;5;3;4;2;2;2;1;1;5;0;0;NA;4;4;4;3;3;1;4;2;4;3;4;3;3;2;3;1;3;4;2;4;3;2;4;1;3;4;0;0;30;Male;NA;CPT
Token_1205;22/06/2019 19:39;11;en;294790202;22/06/2019 19:31;22/06/2019 19:39;NA;NA;NA;6;6;7;1;7;1;7;2;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;NA;NA;NA;1;Open Access Publisher;NA;NA;6;7;6;1;5;4;6;4;5;1;7;1;7;3;7;4;6;1;3;3;3;3;3;3;3;3;NA;1;NA;6;7;7;1;6;2;7;4;6;1;6;1;6;2;6;4;7;1;4;5;3;3;3;3;3;5;1;1;NA;5;7;7;2;7;3;7;2;5;3;7;2;6;2;6;4;6;2;1;1;1;1;1;1;1;1;0;0;NA;7;6;7;1;7;3;7;1;7;3;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;0;25;Female;NA;BM
Token_1214;24/06/2019 3:02;11;en;697041553;24/06/2019 2:49;24/06/2019 3:02;NA;NA;NA;5;5;7;1;7;1;7;4;7;1;6;1;6;1;6;4;6;1;6;1;6;1;6;4;6;1;1;Open Access Publisher;NA;0;NA;NA;NA;4;6;6;1;6;4;6;4;6;1;6;1;6;4;6;4;6;1;6;1;6;4;6;4;6;4;0;0;NA;1;6;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;0;0;NA;1;6;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;0;0;NA;1;6;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;0;0;38;Female;NA;HUM
Token_1217;24/06/2019 6:53;11;en;198355534;24/06/2019 6:40;24/06/2019 6:53;NA;NA;NA;5;6;7;2;7;1;5;2;3;3;5;5;5;5;5;5;5;5;7;3;6;3;6;3;5;3;0;NA;NA;0;NA;NA;NA;5;6;7;3;7;3;7;4;5;3;7;2;7;2;6;3;5;4;6;3;6;3;6;3;6;3;0;0;NA;1;5;4;5;6;4;5;3;5;5;6;3;5;3;5;3;4;4;4;4;4;4;4;4;4;4;0;0;NA;4;6;5;5;5;5;7;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;0;0;NA;5;4;6;5;6;5;6;5;5;5;4;4;5;4;4;2;5;4;5;4;5;4;4;4;4;4;0;0;28;Female;NA;CPT
Token_1220;24/06/2019 7:46;11;en;1333058565;24/06/2019 7:28;24/06/2019 7:46;NA;NA;NA;6;6;7;1;7;1;7;5;7;1;7;1;7;1;7;5;6;1;6;1;6;1;6;4;6;1;0;NA;NA;0;NA;NA;NA;4;6;5;2;6;2;6;4;5;3;5;4;6;3;6;4;2;5;5;2;6;2;5;3;3;3;0;0;NA;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;3;5;5;2;5;2;6;3;4;4;5;2;5;2;5;3;4;3;5;2;5;2;5;3;4;3;0;0;NA;3;5;6;2;6;2;7;1;5;1;7;2;6;2;7;1;6;1;6;2;6;2;6;1;6;2;0;0;24;Female;NA;CPT
Token_1223;24/06/2019 8:06;11;en;939978279;24/06/2019 7:58;24/06/2019 8:06;NA;NA;NA;5;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;NA;NA;NA;NA;NA;NA;5;7;6;2;6;3;6;2;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;0;1;NA;1;7;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;27;Female;NA;CPT
Token_1229;24/06/2019 9:07;11;en;1211039929;24/06/2019 8:56;24/06/2019 9:07;NA;NA;NA;4;6;6;1;5;2;5;3;5;1;5;2;4;3;5;3;5;1;6;2;6;2;6;2;5;1;0;NA;NA;1;Self-Archiving;NA;NA;5;5;7;1;7;1;6;2;6;1;7;1;7;1;7;1;7;2;4;3;4;2;5;3;4;4;1;1;NA;5;4;3;5;2;5;5;3;1;5;5;2;5;2;5;2;3;3;3;4;4;3;5;3;3;3;0;0;NA;4;5;3;4;4;3;4;3;4;3;3;5;3;5;3;5;3;5;4;3;4;3;4;3;4;3;0;0;NA;4;5;5;2;5;2;5;2;6;2;6;2;6;2;6;2;6;2;7;1;7;1;7;1;7;1;0;0;29;Female;NA;HUM
Token_1235;24/06/2019 9:45;11;en;1739733797;24/06/2019 9:38;24/06/2019 9:45;NA;NA;NA;6;7;6;1;6;2;5;5;6;1;7;2;6;1;6;4;6;2;7;2;4;4;6;5;6;2;0;NA;NA;1;Open Access Publisher;NA;NA;7;7;7;1;6;2;4;5;6;2;7;1;7;1;6;2;7;1;6;3;4;3;4;3;5;2;0;1;NA;4;6;5;2;6;2;4;5;4;4;5;2;5;2;4;5;6;3;3;4;4;3;3;4;2;5;0;1;NA;3;6;5;2;5;2;7;1;4;3;5;3;5;3;7;1;4;3;5;3;5;3;7;1;3;4;0;0;NA;5;5;7;1;6;2;6;2;7;1;5;3;6;2;5;3;7;1;7;1;7;1;7;1;7;1;0;0;25;Male;NA;CPT
Token_1238;24/06/2019 10:03;11;en;1366337576;24/06/2019 9:42;24/06/2019 10:03;NA;NA;NA;3;7;7;1;6;1;7;2;6;1;6;1;7;1;6;2;6;1;4;2;5;2;6;2;6;1;0;NA;NA;1;NA;NA;NA;4;7;7;1;7;1;7;3;5;1;7;1;6;2;7;2;5;2;5;3;6;1;7;1;5;2;0;NA;NA;1;6;5;3;5;3;4;4;4;4;5;2;6;2;5;2;4;4;7;1;6;1;6;2;6;2;0;NA;NA;1;6;2;6;3;4;4;5;1;6;4;4;4;4;5;3;2;4;5;3;5;3;5;3;4;4;0;NA;NA;5;6;6;2;6;2;6;3;5;3;6;3;6;3;5;2;3;4;7;1;7;1;7;1;7;1;0;NA;26;Male;NA;CPT
Token_1241;24/06/2019 10:24;11;en;1954891340;24/06/2019 10:13;24/06/2019 10:24;NA;NA;NA;6;2;5;1;4;1;5;1;5;1;5;1;5;1;5;1;5;1;4;1;4;1;4;1;4;1;0;NA;NA;0;NA;NA;NA;5;2;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;3;4;3;1;3;1;3;5;1;1;NA;4;2;4;2;3;1;2;1;2;4;3;4;3;1;3;1;3;4;1;7;1;1;1;1;1;7;0;0;NA;4;2;1;5;2;1;2;1;2;6;1;5;2;1;2;1;2;6;1;7;1;1;1;1;1;7;0;0;NA;3;1;3;6;2;1;2;1;2;4;3;6;2;1;2;1;2;4;1;6;1;1;1;1;1;6;0;0;27;Male;NA;BM
Token_1244;24/06/2019 12:54;11;en;80366777;24/06/2019 10:22;24/06/2019 12:54;NA;NA;NA;3;4;7;1;7;1;6;2;4;4;7;1;7;1;6;2;4;4;6;2;6;2;5;3;7;1;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;2;2;1;4;1;4;1;1;1;7;6;2;6;2;6;2;5;3;5;3;5;3;5;3;4;4;0;0;NA;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;7;2;6;2;2;2;2;2;6;0;0;NA;1;1;1;6;1;6;1;1;1;7;2;6;2;6;2;1;1;6;1;7;1;6;1;6;1;6;0;0;NA;1;1;1;7;1;7;1;1;1;7;1;7;1;7;1;1;1;7;1;7;1;7;1;1;1;7;0;0;28;Male;NA;CPT
Token_1247;24/06/2019 10:47;11;en;1138309053;24/06/2019 10:24;24/06/2019 10:47;NA;NA;NA;2;6;5;1;6;4;5;4;3;3;5;2;4;2;6;1;4;4;4;1;4;1;4;1;3;3;0;NA;NA;NA;NA;NA;NA;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;5;2;1;3;3;3;6;NA;NA;NA;2;5;5;1;5;2;5;1;4;4;5;1;5;2;5;1;4;4;3;4;3;4;4;1;2;5;0;0;NA;2;3;3;3;3;3;3;2;3;3;3;3;3;2;3;2;3;2;2;6;2;2;2;1;2;6;0;0;NA;6;2;7;1;7;2;7;2;7;1;7;1;7;2;7;2;7;1;6;1;6;3;6;2;7;3;NA;NA;26;Male;NA;CPT
Token_1250;24/06/2019 11:17;11;en;912492703;24/06/2019 10:48;24/06/2019 11:17;NA;NA;NA;3;6;7;1;7;1;7;1;6;1;6;1;6;1;6;1;5;1;3;1;3;1;3;1;3;1;NA;NA;NA;NA;NA;NA;NA;2;4;6;1;6;1;6;3;5;1;5;1;5;1;5;3;5;1;3;1;3;1;3;1;3;1;0;0;NA;1;3;4;1;4;1;4;1;3;2;4;1;3;1;3;1;3;2;1;4;1;1;1;1;2;1;0;0;NA;1;3;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;1;6;1;1;1;1;1;6;0;0;NA;4;3;3;1;4;1;4;1;4;1;3;1;3;4;3;1;3;1;1;6;1;1;1;1;1;6;0;0;29;Male;NA;NA
Token_1265;24/06/2019 13:54;11;en;1584345363;24/06/2019 13:46;24/06/2019 13:54;NA;NA;NA;5;5;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;0;NA;NA;NA;NA;NA;NA;4;5;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;0;NA;NA;5;6;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;6;1;6;1;6;1;6;1;1;1;NA;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;NA;5;5;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;0;0;35;Male;NA;BM
Token_1274;24/06/2019 16:23;11;en;813085700;24/06/2019 16:12;24/06/2019 16:23;NA;NA;NA;6;6;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;5;1;5;1;5;1;5;1;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;3;6;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;5;1;5;1;5;1;5;1;0;0;NA;2;5;3;1;3;1;3;1;3;1;4;1;4;1;4;1;4;1;5;1;5;1;5;1;5;1;0;0;NA;1;4;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;4;1;4;1;4;1;4;1;0;0;NA;2;3;3;1;3;1;3;1;3;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;0;0;31;Male;NA;CPT
Token_1289;25/06/2019 9:24;11;en;795614194;25/06/2019 9:15;25/06/2019 9:24;NA;NA;NA;5;7;7;1;7;1;6;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;NA;NA;1;Open Access Publisher;NA;NA;5;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;1;NA;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;2;6;5;2;2;2;5;1;5;1;4;4;4;1;4;1;4;1;4;1;4;1;4;1;2;2;0;NA;27;Female;NA;BM
Token_1295;25/06/2019 12:59;11;en;970247003;25/06/2019 9:49;25/06/2019 12:59;NA;NA;NA;6;5;7;2;6;2;6;1;5;1;7;1;6;1;5;2;6;1;6;1;6;1;6;1;5;2;1;Self-Archiving;NA;1;Self-Archiving;NA;NA;6;5;5;2;5;2;4;4;3;4;4;4;4;3;4;2;2;5;1;5;2;5;2;5;2;5;0;0;NA;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;5;3;5;2;6;2;0;0;NA;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;5;6;NA;NA;NA;NA;NA;NA;NA;NA;6;5;NA;NA;NA;NA;NA;NA;6;2;6;2;7;2;4;4;0;0;27;Male;NA;CPT
Token_1301;25/06/2019 10:49;11;en;180223075;25/06/2019 10:41;25/06/2019 10:49;NA;NA;NA;6;7;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;6;1;6;1;6;1;0;NA;NA;1;Open Access Publisher;NA;NA;7;2;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;NA;1;7;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;NA;NA;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;3;0;0;28;Female;NA;BM
Token_1310;25/06/2019 12:31;11;en;720881133;25/06/2019 12:15;25/06/2019 12:31;NA;NA;NA;4;6;6;2;6;2;6;2;4;4;6;2;6;2;6;2;4;4;6;2;6;2;6;2;4;4;0;NA;NA;0;NA;NA;NA;3;5;6;2;6;2;6;2;4;4;6;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;1;5;5;3;5;3;5;3;2;6;5;3;5;3;5;3;2;6;5;3;5;3;5;3;5;3;0;0;NA;1;4;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;4;4;4;4;4;4;4;4;0;0;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;28;Male;NA;CPT
Token_1316;25/06/2019 14:47;11;en;247657602;25/06/2019 13:02;25/06/2019 14:47;NA;NA;NA;5;4;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;Other;arxiv;1;Other;arxiv;NA;5;3;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;NA;7;3;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;NA;7;3;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;25;Female;NA;CPT
Token_1334;26/06/2019 10:03;11;en;1575625219;26/06/2019 8:43;26/06/2019 10:03;NA;NA;NA;5;7;7;1;6;1;6;2;7;1;6;1;6;2;6;1;6;1;6;2;6;2;7;2;6;2;0;NA;NA;1;Open Access Publisher;NA;NA;5;6;6;1;6;1;7;1;6;2;6;2;6;1;6;2;6;2;6;2;6;2;6;1;6;3;0;1;NA;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;1;6;6;3;6;3;5;1;5;2;7;2;6;2;5;2;6;2;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;5;7;5;2;5;2;5;2;5;1;5;2;6;2;5;1;5;2;6;2;5;2;5;1;5;2;0;0;24;Female;NA;BM
